pair,base,2024_profit_abs,2024_profit_pct,2024_trades,2025_profit_abs,2025_profit_pct,2025_trades,2026_01_05_profit_abs,2026_01_05_profit_pct,2026_01_05_trades,main_total_profit_abs,main_total_trades
MKR/USDT:USDT,MKR,5687.744700449999,56.87744700449999,252,9721.20276345,97.21202763449999,167,0.0,0.0,0,15408.947463899998,419
SOL/USDT:USDT,SOL,5621.8002884,56.21800288399999,104,2988.473519,29.88473519,92,487.17086849999987,4.871708684999999,24,9097.4446759,220
XLM/USDT:USDT,XLM,5414.99089423,54.149908942299994,46,1726.2206390799995,17.262206390799996,76,550.17307494,5.5017307494,13,7691.3846082499995,135
AAVE/USDT:USDT,AAVE,4308.507766899999,43.08507766899999,51,719.0830229499995,7.190830229499995,46,2335.8276155999997,23.358276155999995,21,7363.418405449998,118
XTZ/USDT:USDT,XTZ,2805.0290376000007,28.05029037600001,60,2168.1843511499997,21.681843511499995,57,1477.0612061300003,14.770612061300003,25,6450.27459488,142
XRP/USDT:USDT,XRP,801.6750466400002,8.016750466400001,48,3178.88175872,31.7888175872,46,1460.1707825,14.601707825000002,14,5440.72758786,108
ETH/USDT:USDT,ETH,788.4014494300001,7.8840144943000015,28,3177.1680708999993,31.771680708999995,19,131.24128326,1.3124128325999997,2,4096.8108035899995,49
SUI/USDT:USDT,SUI,1657.8192563600003,16.578192563600002,57,497.9345882100003,4.979345882100003,63,1334.72332334,13.347233233399999,26,3490.4771679100004,146
ETC/USDT:USDT,ETC,2356.85193326,23.568519332599998,37,915.3873422199999,9.1538734222,20,65.82138036,0.6582138036,5,3338.06065584,62
LTC/USDT:USDT,LTC,948.5597333499999,9.485597333499998,92,2002.4098040299998,20.024098040299997,118,108.1572505,1.081572505,17,3059.1267878799995,227
COMP/USDT:USDT,COMP,2018.7642000100002,20.187642000100002,23,1151.6787459299996,11.516787459299996,17,-152.70686976000002,-1.5270686976,4,3017.73607618,44
OP/USDT:USDT,OP,-74.04526950000019,-0.7404526950000019,74,2386.99700135,23.8699700135,29,324.06201255,3.2406201255000004,12,2637.0137443999997,115
APT/USDT:USDT,APT,1205.4531365999997,12.054531365999996,23,-139.19032367000003,-1.3919032367000004,32,433.03950704,4.3303950704,7,1499.3023199699996,62
DOGE/USDT:USDT,DOGE,544.18588828,5.4418588828,45,302.95570854000005,3.0295570854000005,12,209.77199438999997,2.0977199438999996,4,1056.91359121,61
AVAX/USDT:USDT,AVAX,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
BCH/USDT:USDT,BCH,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
BNB/USDT:USDT,BNB,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
BTC/USDT:USDT,BTC,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
LINK/USDT:USDT,LINK,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
TRX/USDT:USDT,TRX,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0
